amfi_code,scheme_name,sharpe_ratio
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.4482911703262604
120843,Kotak Flexicap Fund - Regular - Growth,1.3067439695428413
148569,Mirae Asset Tax Saver Fund - Regular - Growth,1.2349300257743292
119551,SBI Bluechip Fund - Regular Plan - Growth,1.2082665673727178
120505,ICICI Pru Midcap Fund - Regular - Growth,1.1801011976606495
149323,DSP Midcap Fund - Regular - Growth,1.1321218524747252
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.093698743534631
118632,Nippon India Large Cap Fund - Regular - Growth,1.0816591793457038
101206,ABSL Frontline Equity Fund - Regular - Growth,1.0272133278753697
120504,ICICI Pru Bluechip Fund - Direct - Growth,1.0265242847993006
119094,Axis Midcap Fund - Regular - Growth,0.9982309868636403
119552,SBI Bluechip Fund - Direct Plan - Growth,0.953279496866011
149324,DSP Small Cap Fund - Regular - Growth,0.949795824661604
119598,SBI Small Cap Fund - Regular Plan - Growth,0.9453082575156093
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.9262873467360141
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.817099337349437
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.7979728586052844
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.7757902498211205
118635,Nippon India ETF Nifty 50 BeES,0.6648569985490621
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.6488787755249528
118633,Nippon India Large Cap Fund - Direct - Growth,0.6452074382933218
102887,UTI Flexi Cap Fund - Regular - Growth,0.6195175900829826
120507,ICICI Pru Liquid Fund - Regular - Growth,0.495723392953312
120841,Kotak Bluechip Fund - Regular - Growth,0.4942725378672348
149322,DSP Top 100 Equity Fund - Regular - Growth,0.46403744922047735
118634,Nippon India Small Cap Fund - Regular - Growth,0.4484340089089915
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.3006119210425479
101207,ABSL Small Cap Fund - Regular - Growth,0.16266076928646786
119093,Axis Bluechip Fund - Direct - Growth,0.12961449795669325
120842,Kotak Emerging Equity Fund - Regular - Growth,0.07599984804658923
119092,Axis Bluechip Fund - Regular - Growth,0.030784850954585916
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.05718662582817995
119095,Axis Small Cap Fund - Regular - Growth,-0.07597357117478923
120844,Kotak Liquid Fund - Regular - Growth,-0.08874729621557288
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.20151706755966936
102886,UTI Mid Cap Fund - Regular - Growth,-0.2058316078547031
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.22657538662791568
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.35662950751436784
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.5670947928476846
101208,ABSL Liquid Fund - Regular - Growth,-0.8155673679088258
